id,name,address_01,address_02,city,id_geo_states,postal_code
3047,A A Anastasia Elementary School,92 SEVENTH AVENUE,,LONG BRANCH,37,7740
2679,A Chester Redshaw School,216 Livingston Avenue,,NEW BRUNSWICK,37,08901-2930
1176,A E BURLING ELEMENTARY SCHOOL,3600 HARRIS AVENUE,,Pennsauken,37,8105
1034,A. Russell Knight Elementary School,140 OLD CARRIAGE RD,,CHERRY HILL,37,08034-3332
4498,A.P. Morris Early Childhood Center,143 COE AVE,,Hillside,37,07205-2830
3272,Aaron Decker School,98 DECKER ROAD,,Butler,37,7405
1611,ABINGTON AVENUE SCHOOL,209 ABINGTON AVE,,Newark,37,07107-2507
4582,ABRAHAM CLARK HIGH SCHOOL,122 EAST 6TH AVE,,Roselle,37,07203-2026
691,Abraham Lincoln Elementary School,325 MASON AVE,,Wyckoff,37,07481-2822
318,ABRAHAM LINCOLN SCHOOL #6,111 PALISADE AVE,,Garfield,37,7026
4426,Abraham Lincoln School No. 14,50 GROVE ST,,Elizabeth,37,07202-2327
83,Absegami High School,201 S  WRANGLEBORO ROAD,,Galloway,37,08205-9554
4810,Academy Charter High School,1725 MAIN STREET,,LAKE COMO,37,7719
4693,Academy For Allied Health Sciences,1776 RARITAN ROAD,,SCOTCH PLAINS,37,07076-2997
4695,Academy For Information Technology,1776 RARITAN ROAD,,SCOTCH PLAINS,37,07076-2997
3418,Academy for Law and Public Safety,BUTLER HIGH SCHOOL ANNEX,,Butler,37,7405
3419,"Academy for Mathematics, Science and Eng",520 WEST MAIN STREET,,Rockaway,37,07866-3799
4697,Academy For Performing Arts,1776 Raritan Road,,Scotch Plains,37,07076-2997
4812,Academy for Urban Leader,612 Amboy Ave,,Perth Amboy,37,8861
2065,Academy I,209 BERGEN AVENUE,,JERSEY CITY,37,7305
2646,Academy Learning Center,145 PERGOLA AVENUE,,MONROE TOWNSHIP,37,8831
3157,ACADEMY OF ALLIED HEALTH AND SCIENCE,2325 HECK AVENUE,,Neptune,37,07753-4432
3159,Academy of Law &amp; Public Safety,255 West End Avenue,,Long Branch,37,7740
2054,Academy of Technology Design,525 Montgomery Street,,Jersey City,37,07302-3237
3290,Academy Street Elementary School,14 ACADEMY STREET,,Dover,37,07801-4906
2363,ACCREDITED EVENING HIGH SCHOOL,1055 KLOCKNER ROAD,,Hamilton,37,8619
4158,ADAMSVILLE ELEMENTARY SCHOOL,400 UNION AVE,,Bridgewater,37,8807
2980,ADELPHIA ELEMENTARY SCHOOL,495 ADELPHIA ROAD,,Freehold,37,7728
1521,Adlai E. Stevenson,15 KNOLL ROAD,,Fairfield,37,7006
7504,Administrator Proxy,125 Kent Place Boulevard,,Summit,37,7901
4428,Admiral William F. Halsey Jr. Health &am,641 South Street,,Elizabeth,37,7202
3901,ADULT AND CONTINUING EDUCATION,151 ELLISON STREET,,Paterson,37,7505
2067,Adult Evening High School,2 Palisade Avenue,,Jersey City,37,7306
2056,Adult High School and Post Secondary Pro,2000 85th Street,,North Bergen,37,07047-4715
1885,Adult Regional High School,1360 Tanyard Road,,Sewell,37,8080
7479,AfterSchool Music,40 South Broadway,NULL,Pitman,37,8071
2713,Alan B. Shepard Elementary School,33 BUSHNELL RD,,OLD BRIDGE,37,08857-2320
2365,ALBERT E GRICE MIDDLE SCHOOL,901 WHITEHORSE HAMILTON SQ,,Hamilton,37,08610-1426
4026,ALBERT PAYSON TERHUNE ELEMENTARY,40 GEOFFREY WAY,,Wayne,37,07470-4029
2208,Albio Sires Elementary School,6300 PALISADE AVE,,WEST NEW YORK,37,07093-2318
53,Alder Avenue Middle School,25 Alder Avenue,,Egg Harbor Township,37,08234-5315
2982,Aldrich Elementary School,615 ALDRICH ROAD,,Howell,37,07731-1936
4234,Alexander Batcho Intermediate School,100 NORTH 13TH AVE,,Manville,37,8835
2069,Alexander D. Sullivan School,171 SEAVIEW AVE,,JERSEY CITY,37,07305-2412
893,Alexander Denbo,ONE LEARNING WAY,,BROWNS MILLS,37,8015
2367,ALEXANDER ELEMENTARY SCHOOL,20 ROBERT FROST DRIVE,,Hamilton,37,08690-2331
